Stock Name,RS Rating,Basic Industry,EPS Latest Quarter,QoQ % EPS Latest,YoY% EPS Latest,Sales Latest Quarter,QoQ % Sales Latest,YoY % Sales Latest
ASAL,17,Auto Ancilaries,2.25,-16.7,-26.5,198.16,0.5,-8.5
PAVNAIND,17,Auto Ancilaries,0.8,-71.1,-46.3,75.99,-4.5,-4.9
RANEENGINE,16,Auto Ancilaries,-12.25,-254.7,-350,131.25,-11,-3.8
JAYBARMARU,15,Auto Ancilaries,0.36,24.1,-48.6,590.66,6.3,7.9
JAMNAAUTO,13,Auto Ancilaries,1.1,10,-24.1,562.48,9.7,-6.9
ALICON,12,Auto Ancilaries,0.48,-95.4,-95.4,392.1,-15.5,-3.2
AUTOIND,9,Auto Ancilaries,0.29,-77,-75.4,156.07,-0.2,1.4
RAJRATAN,9,Auto Ancilaries,1.84,-50.9,-52.6,218.36,-11,-6.2
JBMA,8,Auto Ancilaries,2.23,-46.8,-46.9,1396.15,8.6,3.7
RICOAUTO,7,Auto Ancilaries,0.14,-70.2,-83.1,551.69,-4.2,5.4
CARRARO,4,Auto Ancilaries,2.49,-71.1,NA,444.78,-51,NA
PVSL,3,Auto Ancilaries,-1.37,-229.2,-152.7,1364.67,-9.8,-3.7
EICHERMOT,89,Auto Manufacturers,42.7,6.4,17.1,4973.12,16.7,19
ASKAUTOLTD,87,Auto Manufacturers,3.34,-2.3,28.5,915.1,-6,20.1
FORCEMOT,86,Auto Manufacturers,87.51,-14.6,34.9,1889.49,-2.7,11.7
M&M,84,Auto Manufacturers,25.58,0.3,19.2,41470.05,9.4,17.5
HINDMOTORS,79,Auto Manufacturers,0.16,-33.3,-72.9,0.59,-28,-58.7
MARUTI,79,Auto Manufacturers,118.54,20.1,16.1,38764.3,3.5,15.7
ASHOKLEY,75,Auto Manufacturers,2.59,7.5,30.2,11995.21,7.6,8.1
PRICOLLTD,73,Auto Manufacturers,3.4,-8.4,18.9,633.8,-5.2,10.7
TVSMOTOR,72,Auto Manufacturers,11.91,0.8,17.3,11134.63,-1.5,10.1
HYUNDAI,71,Auto Manufacturers,14.29,-15.6,NA,16648,-3.5,-1.3
BAJAJ-AUTO,44,Auto Manufacturers,78.62,58.4,9.5,13168.88,-0.6,8.2
ATULAUTO,37,Auto Manufacturers,2.79,42.3,46.8,194.99,7.3,26.3
HEROMOTOCO,29,Auto Manufacturers,55.38,4.1,1.1,10259.89,-2.1,4.8
TATAMOTORS,23,Auto Manufacturers,14.81,62.9,-30.1,113575,12,2.7
OLECTRA,20,Auto Manufacturers,5.64,-2.6,66.4,515.37,-1.6,50.6
INDOFARM,20,Auto Manufacturers,1.01,NA,NA,96.17,NA,NA
SMLISUZU,18,Auto Manufacturers,0.37,-97.5,-80.6,331.8,-39.6,-14.1
OLAELEC,5,Auto Manufacturers,-1.28,-15.3,NA,1045,-13.9,NA
ASALCBR,98,Breweries & Distilleries,13.6,60.6,95.7,327.02,28.4,71.2
GLOBUSSPR,90,Breweries & Distilleries,0.19,-64.8,-98.8,602.04,-5.6,-12.4
RADICO,89,Breweries & Distilleries,7.17,16.8,27.6,1294.24,15.9,11.5
SDBL,87,Breweries & Distilleries,1.1,12.2,-53.8,301.12,3.9,13
UBL,79,Breweries & Distilleries,1.45,-71.1,-56.2,2000.26,-5.5,9.6
GMBREW,77,Breweries & Distilleries,9.62,1.4,-2.9,165.84,11.3,5.6
UNITDSPR,74,Breweries & Distilleries,4.61,-1.7,-4.2,3433,20.7,14.3
ABDL,72,Breweries & Distilleries,2.09,20.8,1261.1,973.74,12.2,8.8
RKDL,71,Breweries & Distilleries,0.01,-66.7,102.3,10.07,-7.2,92.9
IFBAGRO,68,Breweries & Distilleries,12.85,473.7,342,294.97,10.6,20.6
TI,54,Breweries & Distilleries,2.79,-7.6,19.2,340.43,-9.2,-9.6
PRAJIND,41,Breweries & Distilleries,2.24,-23.8,-42.6,853.03,4.5,2.9
SULA,4,Breweries & Distilleries,3.32,93,-32.7,200.15,51.2,3.4
RADAAN,93,Broadcasting & Entertainment,0.01,-83.3,107.1,2.36,-32,-43
RAJTV,92,Broadcasting & Entertainment,0.05,150,600,42.72,18.7,7.9
